"Entry ID","Deposition Date","Release Date","PDB ID",
"5RCL","2020-03-24","2020-06-03","5RCL",
"5RCH","2020-03-24","2020-06-03","5RCH",
"5RD7","2020-03-24","2020-06-03","5RD7",
"5RCV","2020-03-24","2020-06-03","5RCV",
"5RD4","2020-03-24","2020-06-03","5RD4",
"5RCS","2020-03-24","2020-06-03","5RCS",
"5RD2","2020-03-24","2020-06-03","5RD2",
"5RCQ","2020-03-24","2020-06-03","5RCQ",
"5RCZ","2020-03-24","2020-06-03","5RCZ",
"5RD9","2020-03-24","2020-06-03","5RD9",
"5RCX","2020-03-24","2020-06-03","5RCX",
"5RDG","2020-03-24","2020-06-03","5RDG",
"5RDE","2020-03-24","2020-06-03","5RDE",
"5RDA","2020-03-24","2020-06-03","5RDA",
"5R3Y","2020-02-13","2020-06-03","5R3Y",
"5R3Z","2020-02-13","2020-06-03","5R3Z",
"5R3W","2020-02-13","2020-06-03","5R3W",
"5R3X","2020-02-13","2020-06-03","5R3X",
"5R2Z","2020-02-13","2020-06-03","5R2Z",
"5R39","2020-02-13","2020-06-03","5R39",
"5R2X","2020-02-13","2020-06-03","5R2X",
"5R2Y","2020-02-13","2020-06-03","5R2Y",
"5R37","2020-02-13","2020-06-03","5R37",
"5R2V","2020-02-13","2020-06-03","5R2V",
"5R38","2020-02-13","2020-06-03","5R38",
"5R2W","2020-02-13","2020-06-03","5R2W",
"5R3E","2020-02-13","2020-06-03","5R3E",
"5R3F","2020-02-13","2020-06-03","5R3F",
"5R3C","2020-02-13","2020-06-03","5R3C",
"5R3D","2020-02-13","2020-06-03","5R3D",
"5R3A","2020-02-13","2020-06-03","5R3A",
"5R3B","2020-02-13","2020-06-03","5R3B",
"5R3M","2020-02-13","2020-06-03","5R3M",
"5R3N","2020-02-13","2020-06-03","5R3N",
"5R3K","2020-02-13","2020-06-03","5R3K",
"5R3L","2020-02-13","2020-06-03","5R3L",
"5R3I","2020-02-13","2020-06-03","5R3I",
"5R3J","2020-02-13","2020-06-03","5R3J",
"5R3G","2020-02-13","2020-06-03","5R3G",
"5R3H","2020-02-13","2020-06-03","5R3H",
"5R3U","2020-02-13","2020-06-03","5R3U",
"5R3V","2020-02-13","2020-06-03","5R3V",
"5R3S","2020-02-13","2020-06-03","5R3S",
"5R3T","2020-02-13","2020-06-03","5R3T",
"5R3Q","2020-02-13","2020-06-03","5R3Q",
"5R3R","2020-02-13","2020-06-03","5R3R",
"5R40","2020-02-13","2020-06-03","5R40",
"5R3O","2020-02-13","2020-06-03","5R3O",
"5R41","2020-02-13","2020-06-03","5R41",
"5R3P","2020-02-13","2020-06-03","5R3P",
"5R1Y","2020-02-13","2020-06-03","5R1Y",
"5R1Z","2020-02-13","2020-06-03","5R1Z",
"5R28","2020-02-13","2020-06-03","5R28",
"5R1W","2020-02-13","2020-06-03","5R1W",
"5R29","2020-02-13","2020-06-03","5R29",
"5R1X","2020-02-13","2020-06-03","5R1X",
"5R26","2020-02-13","2020-06-03","5R26",
"5R1U","2020-02-13","2020-06-03","5R1U",
"5R27","2020-02-13","2020-06-03","5R27",
"5R1V","2020-02-13","2020-06-03","5R1V",
"5R2D","2020-02-13","2020-06-03","5R2D",
"5R2E","2020-02-13","2020-06-03","5R2E",
"5R2B","2020-02-13","2020-06-03","5R2B",
"5R2C","2020-02-13","2020-06-03","5R2C",
"5R2A","2020-02-13","2020-06-03","5R2A",
"5R2L","2020-02-13","2020-06-03","5R2L",
"5R2M","2020-02-13","2020-06-03","5R2M",
"5R2J","2020-02-13","2020-06-03","5R2J",
"5R2K","2020-02-13","2020-06-03","5R2K",
"5R2H","2020-02-13","2020-06-03","5R2H",
"5R2I","2020-02-13","2020-06-03","5R2I",
"5R2F","2020-02-13","2020-06-03","5R2F",
"5R2G","2020-02-13","2020-06-03","5R2G",
"5R35","2020-02-13","2020-06-03","5R35",
"5R2T","2020-02-13","2020-06-03","5R2T",
"5R36","2020-02-13","2020-06-03","5R36",
"5R2U","2020-02-13","2020-06-03","5R2U",
"5R33","2020-02-13","2020-06-03","5R33",
"5R2R","2020-02-13","2020-06-03","5R2R",
"5R34","2020-02-13","2020-06-03","5R34",
"5R2S","2020-02-13","2020-06-03","5R2S",
"5R31","2020-02-13","2020-06-03","5R31",
"5R2P","2020-02-13","2020-06-03","5R2P",
"5R32","2020-02-13","2020-06-03","5R32",
"5R2Q","2020-02-13","2020-06-03","5R2Q",
"5R2N","2020-02-13","2020-06-03","5R2N",
"5R30","2020-02-13","2020-06-03","5R30",
"5R2O","2020-02-13","2020-06-03","5R2O",
"5R24","2020-02-13","2020-06-03","5R24",
"5R25","2020-02-13","2020-06-03","5R25",
"5R1T","2020-02-13","2020-06-03","5R1T",
"5R22","2020-02-13","2020-06-03","5R22",
"5R23","2020-02-13","2020-06-03","5R23",
"5R20","2020-02-13","2020-06-03","5R20",
"5R21","2020-02-13","2020-06-03","5R21",
"5QBK","2017-08-04","2020-04-22","5QBK",
"5QBS","2017-08-04","2020-04-22","5QBS",
"6SSV","2019-09-09","2020-09-30","6SSV",
"6ZEV","2020-06-16","2020-10-14","6ZEV",
"6ZET","2020-06-16","2020-10-14","6ZET",
"6ZEU","2020-06-16","2020-10-14","6ZEU",
"6YMR","2020-04-09","2021-04-21","6YMR",
"6YI6","2020-04-01","2021-04-14","6YI6",
"6YE5","2020-03-24","2021-03-31","6YE5",
"7BK0","2021-01-14","2021-05-05","7BK0",
"6Y5S","2020-02-25","2020-06-17","6Y5S",
"6Y5T","2020-02-25","2020-06-17","6Y5T",
"6Y4I","2020-02-21","2021-03-31","6Y4I",
"6X8H","2020-06-01","2021-06-02","6X8H",
"6WTG","2020-05-02","2021-03-03","6WTG",
"6TXB","2020-01-14","2021-01-27","6TXB",
"6TUV","2020-01-08","2021-01-27","6TUV",
"7MIR","2021-04-17","2021-08-18","7MIR",
"6ZOV","2020-07-07","2020-10-21","6ZOV",
"7KZ7","2020-12-10","2020-12-23","7KZ7",
"6Z7V","2020-06-01","2021-06-09","6Z7V",
"6TF2","2019-11-12","2020-09-23","6TF2",
"7CBK","2020-06-12","2020-08-12","7CBK",
"7AX3","2020-11-09","2021-11-10","7AX3",
"7ALT","2020-10-07","2021-08-04","7ALT",
"7AK7","2020-09-30","2021-08-18","7AK7",
"6X06","2020-05-15","2020-12-09","6X06",
"6TG8","2019-11-15","2020-09-16","6TG8",
"7EJ2","2021-04-01","2021-06-09","7EJ2",
"7EJ1","2021-04-01","2021-06-09","7EJ1",
"6S9A","2019-07-11","2020-08-26","6S9A",
"7CK6","2020-07-15","2020-11-04","7CK6",
"7L34","2020-12-17","2021-01-13","7L34",
"7L35","2020-12-17","2021-01-13","7L35",
"7JPH","2020-08-08","2021-04-07","7JPH",
"6XCY","2020-06-09","2021-06-16","6XCY",
"7AL8","2020-10-05","2021-10-13","7AL8",
"6W2H","2020-03-05","2021-03-10","6W2H",
"6W2G","2020-03-05","2021-03-10","6W2G",
"6UOV","2019-10-15","2020-07-01","6UOV",
"6UOT","2019-10-15","2020-07-01","6UOT",
"6UAI","2019-09-10","2020-09-16","6UAI",
"6UAO","2019-09-11","2020-09-16","6UAO",
"6TFK","2019-11-14","2020-08-12","6TFK",
"6TFJ","2019-11-14","2020-08-12","6TFJ",
"6T9V","2019-10-28","2020-11-18","6T9V",
"6T9U","2019-10-28","2020-11-18","6T9U",
"6SWV","2019-09-24","2020-05-20","6SWV",
"6RWX","2019-06-06","2020-02-12","6RWX",
"7E81","2021-02-28","2021-04-28","7E81",
"6RTH","2019-05-23","2020-03-18","6RTH",
"6ZTK","2020-07-20","2021-06-02","6ZTK",
"6ZLX","2020-07-01","2021-07-14","6ZLX",
"7LKM","2021-02-02","2021-08-11","7LKM",
"6R99","2019-04-03","2020-04-22","6R99",
"6R61","2019-03-26","2021-04-07","6R61",
"7KU1","2020-11-24","2021-03-10","7KU1",
"7KU0","2020-11-24","2021-03-10","7KU0",
"7KU3","2020-11-24","2021-03-10","7KU3",
"7KU2","2020-11-24","2021-03-10","7KU2",
"7KTZ","2020-11-24","2021-03-10","7KTZ",
"7KTY","2020-11-24","2021-03-10","7KTY",
"6Z2O","2020-05-18","2020-09-30","6Z2O",
"6Z2D","2020-05-15","2020-09-30","6Z2D",
"7BS0","2020-03-30","2020-08-26","7BS0",
"7BS6","2020-03-30","2020-08-26","7BS6",
"7BS5","2020-03-30","2020-08-26","7BS5",
"7BS8","2020-03-30","2020-08-26","7BS8",
"7BRW","2020-03-30","2020-08-26","7BRW",
"7BS7","2020-03-30","2020-08-26","7BS7",
"7BRV","2020-03-30","2020-08-26","7BRV",
"7BS2","2020-03-30","2020-08-26","7BS2",
"7BS1","2020-03-30","2020-08-26","7BS1",
"7BS4","2020-03-30","2020-08-26","7BS4",
"7BS3","2020-03-30","2020-08-26","7BS3",
"7BRY","2020-03-30","2020-08-26","7BRY",
"7BS9","2020-03-30","2020-08-26","7BS9",
"7BRX","2020-03-30","2020-08-26","7BRX",
"7BRZ","2020-03-30","2020-08-26","7BRZ",
"7BJ3","2021-01-13","2021-05-12","7BJ3",
"7O50","2021-04-07","2021-09-22","7O50",
"6YN8","2020-04-11","2020-06-24","6YN8",
"6YN9","2020-04-11","2020-06-24","6YN9",
"7MWX","2021-05-17","2021-09-15","7MWX",
"6X44","2020-05-22","2020-10-07","6X44",
"6X42","2020-05-21","2020-10-07","6X42",
"6MRQ","2018-10-15","2020-07-01","6MRQ",
"7OCK","2021-04-27","2021-07-21","7OCK",
"6U0O","2019-08-14","2020-09-23","6U0O",
"7NPS","2021-02-28","2021-05-26","7NPS",
"7NPR","2021-02-28","2021-06-02","7NPR",
"7NP7","2021-02-26","2021-06-02","7NP7",
"7JTI","2020-08-17","2020-10-07","7JTI",
"7JQK","2020-08-11","2021-07-21","7JQK",
"7JQN","2020-08-11","2021-07-21","7JQN",
"7JQO","2020-08-11","2021-07-21","7JQO",
"6V4U","2019-12-01","2020-09-02","6V4U",
"7P2L","2021-07-06","2021-09-08","7P2L",
"6TGG","2019-11-15","2020-04-08","6TGG",
"7FD9","2021-07-16","2021-09-08","7FD9",
"7FD8","2021-07-16","2021-09-08","7FD8",
"7DHL","2020-11-16","2021-02-03","7DHL",
"7BPK","2020-03-23","2021-03-24","7BPK",
"7BQ5","2020-03-24","2021-03-24","7BQ5",
"6Y1A","2020-02-11","2020-03-04","6Y1A",
"7D7Y","2020-10-06","2020-11-25","7D7Y",
"6OAM","2019-03-17","2020-04-22","6OAM",
"6GWN","2018-06-25","2020-01-01","6GWN",
"6GWQ","2018-06-25","2020-01-01","6GWQ",
"6GWP","2018-06-25","2020-01-01","6GWP",
"7EOW","2021-04-23","2021-07-07","7EOW",
"7N7X","2021-06-11","2021-09-15","7N7X",
"6RTG","2019-05-23","2020-03-18","6RTG",
"6QML","2019-02-07","2020-02-26","6QML",
"6XLI","2020-06-28","2020-09-23","6XLI",
"6L71","2019-10-30","2021-03-31","6L71",
"5SAK","2021-05-28","2021-09-01","5SAK",
"5SAS","2021-05-28","2021-09-01","5SAS",
"5SAP","2021-05-28","2021-09-01","5SAP",
"5SAQ","2021-05-28","2021-09-01","5SAQ",
"5SAN","2021-05-28","2021-09-01","5SAN",
"5SAO","2021-05-28","2021-09-01","5SAO",
"5SAM","2021-05-28","2021-09-01","5SAM",
"5SAT","2021-05-28","2021-09-01","5SAT",
"7PQE","2021-09-17","2021-10-06","7PQE",
"7PPO","2021-09-14","2021-10-27","7PPO",
"6ZZ2","2020-08-03","2021-08-11","6ZZ2",
"7DIA","2020-11-18","2021-12-01","7DIA",
"7DIJ","2020-11-19","2021-12-01","7DIJ",
"6YCC","2020-03-18","2020-11-25","6YCC",
"6YCD","2020-03-18","2020-11-25","6YCD",
"6YCB","2020-03-18","2020-11-25","6YCB",
"6Y6L","2020-02-26","2020-11-25","6Y6L",
"6X8L","2020-06-01","2021-06-02","6X8L",
"6X8J","2020-06-01","2021-06-02","6X8J",
"6VSJ","2020-02-11","2020-03-04","6VSJ",
"7ENP","2021-04-18","2021-06-02","7ENP",
"7ENO","2021-04-18","2021-06-02","7ENO",
"7DST","2021-01-02","2021-03-10","7DST",
"7DSS","2021-01-02","2021-03-31","7DSS",
"6Z2P","2020-05-18","2020-09-30","6Z2P",
"7ACJ","2020-09-11","2021-08-18","7ACJ",
"7ACR","2020-09-11","2021-08-18","7ACR",
"6V5T","2019-12-04","2020-05-13","6V5T",
"6X89","2020-06-01","2020-09-02","6X89",
"7PDZ","2021-08-09","2021-09-01","7PDZ",
"6LT0","2020-01-21","2020-04-15","6LT0",
"7O2W","2021-03-31","2021-07-21","7O2W",
"6WTH","2020-05-02","2020-08-12","6WTH",
"6LPA","2020-01-09","2020-08-12","6LPA",
"6LP9","2020-01-09","2020-08-12","6LP9",
"6LBQ","2019-11-14","2020-10-07","6LBQ",
"6LBO","2019-11-14","2020-10-07","6LBO",
"6LB1","2019-11-13","2020-10-07","6LB1",
"6LAP","2019-11-13","2020-10-07","6LAP",
